Region,MedalCount,Gold,Silver,Bronze
Gabon,1,0,1,0
Monaco,1,0,0,1
Sudan,1,0,1,0
Cayman Islands,0,0,0,0
Central African Republic,0,0,0,0
South Sudan,0,0,0,0
Cambodia,0,0,0,0
Comoros,0,0,0,0
Swaziland,0,0,0,0
Cook Islands,0,0,0,0
Chad,0,0,0,0
Somalia,0,0,0,0
Burkina Faso,0,0,0,0
Cape Verde,0,0,0,0
Malawi,0,0,0,0
Brunei,0,0,0,0
Timor-Leste,0,0,0,0
American Samoa,0,0,0,0
Yemen,0,0,0,0
"Virgin Islands, British",0,0,0,0
Andorra,0,0,0,0
Angola,0,0,0,0
Vanuatu,0,0,0,0
Antigua,0,0,0,0
Aruba,0,0,0,0
Bangladesh,0,0,0,0
Belize,0,0,0,0
Benin,0,0,0,0
Turkmenistan,0,0,0,0
Bhutan,0,0,0,0
Boliva,0,0,0,0
Solomon Islands,0,0,0,0
Bosnia and Herzegovina,0,0,0,0
San Marino,0,0,0,0
Democratic Republic of the Congo,0,0,0,0
Lesotho,0,0,0,0
Oman,0,0,0,0
Honduras,0,0,0,0
Nicaragua,0,0,0,0
Kiribati,0,0,0,0
Nauru,0,0,0,0
Myanmar,0,0,0,0
Laos,0,0,0,0
Albania,0,0,0,0
Sierra Leone,0,0,0,0
Libya,0,0,0,0
Micronesia,0,0,0,0
Madagascar,0,0,0,0
Mauritania,0,0,0,0
Marshall Islands,0,0,0,0
Malta,0,0,0,0
Mali,0,0,0,0
Guinea-Bissau,0,0,0,0
Palau,0,0,0,0
Palestine,0,0,0,0
Guinea,0,0,0,0
Seychelles,0,0,0,0
Dominica,0,0,0,0
Sao Tome and Principe,0,0,0,0
Maldives,0,0,0,0
Samoa,0,0,0,0
Saint Vincent,0,0,0,0
Saint Lucia,0,0,0,0
Saint Kitts,0,0,0,0
Rwanda,0,0,0,0
El Salvador,0,0,0,0
Republic of Congo,0,0,0,0
Equatorial Guinea,0,0,0,0
Gambia,0,0,0,0
Guam,0,0,0,0
Papua New Guinea,0,0,0,0
Liberia,0,0,0,0
